,Unnamed: 0,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id
55085,143906,,,101806887.0,,,,2919765.0,Q494617,,,,,Glücksburg,652901.0,,1344131.0,,,,
55086,143908,,,85937687.0,,,,5855505.0,Q2312224,1510900.0,,,,"Haliimaile, Hawaii",,,1041305.0,,,,
55087,143909,,,101806889.0,,,,2832276.0,Q551167,,,,,Sieverstedt,,,93061.0,,,,
55088,143911,08c7b366-8f76-11e1-848f-cfd5bf3ef515,,85938841.0,,,,4901830.0,Q2451108,1748073.0,,,,"Media, Illinois",2448937.0,,472875.0,,,,
55089,143912,08c9e14a-8f76-11e1-848f-cfd5bf3ef515,,85938851.0,,,,4905498.0,Q2225657,1758226.0,,,,"Paw Paw, Illinois",2469378.0,,894834.0,,,,
55090,143914,08cca4fc-8f76-11e1-848f-cfd5bf3ef515,,85938853.0,,,,4912534.0,Q2194507,1772624.0,,,,"Steward, Illinois",2499786.0,,1050466.0,,,,
55091,143915,,,85818799.0,,,,4805539.0,Q5430907,,,,,"Fairway Acres, West Virginia",2401970.0,,1176269.0,,,,
55092,143916,08c9b2ba-8f76-11e1-848f-cfd5bf3ef515,,85938407.0,,,,4905211.0,Q998726,1757225.0,,,,"Palatine, Illinois",2467572.0,,827214.0,,,,
55093,143917,08c91418-8f76-11e1-848f-cfd5bf3ef515,,85941555.0,,,,4924242.0,Q2313259,1854900.0,,,,"North Judson, Indiana",2461209.0,,187677.0,,,,
55094,143918,08bfc430-8f76-11e1-848f-cfd5bf3ef515,,85939331.0,,,,4234209.0,Q4689725,1707263.0,,,,"Bonnie, Illinois",2366745.0,,1048188.0,,,,
55095,143919,,,101806881.0,,,,2881402.0,Q428981,,,,,Langballig,,,578101.0,,,,
55096,143920,08bf4a96-8f76-11e1-848f-cfd5bf3ef515,,85939337.0,,,,4233518.0,Q751266,1704806.0,,,,"Belle Rive, Illinois",2361877.0,,1217546.0,,,,
55097,143922,08cbd982-8f76-11e1-848f-cfd5bf3ef515,,85939341.0,,,,4911008.0,Q2255142,1768510.0,,,,"Secor, Illinois",2490469.0,,1222381.0,,,,
55098,143924,08c9c1ba-8f76-11e1-848f-cfd5bf3ef515,,85939345.0,,,,4905285.0,Q2193133,1757524.0,,,,"Panola, Illinois",2467985.0,,952376.0,,,,
55099,143925,08c6aa48-8f76-11e1-848f-cfd5bf3ef515,,85938341.0,,,,4899739.0,Q1787181,1743250.0,,,,"Libertyville, Illinois",2439117.0,,240233.0,,,,
55100,143926,08c5c632-8f76-11e1-848f-cfd5bf3ef515,,85940809.0,,,,4898152.0,Q2456850,1738830.0,,,,"Justice, Illinois",2430375.0,,155780.0,,,,
55101,143927,08cd7b3e-8f76-11e1-848f-cfd5bf3ef515,,85940105.0,,,,4914331.0,Q2660667,1776771.0,,,,"Union Hill, Illinois",2509866.0,,,,,,
55102,143928,08c6df86-8f76-11e1-848f-cfd5bf3ef515,,85938729.0,,,,4900386.0,Q2300810,1744446.0,,,,"London Mills, Illinois",2441305.0,,1050406.0,,,,
55103,143930,08c2cf22-8f76-11e1-848f-cfd5bf3ef515,,85939207.0,,,,4237838.0,Q1984286,1723503.0,,,,"Ellis Grove, Illinois",2398768.0,,350035.0,,,,
55104,143931,08c7dba2-8f76-11e1-848f-cfd5bf3ef515,,85941653.0,,,,4923542.0,Q2207465,1848816.0,,,,"Michigantown, Indiana",2450155.0,,1050534.0,,,,
55105,143932,,,85937667.0,,,,5855070.0,Q2102831,1507470.0,,,,"ʻEwa Gentry, Hawaii",23417502.0,,160124.0,,,,
55106,143933,,,85941205.0,,,,8480034.0,Q6476191,,,,,"Lake Holiday, Illinois",,,,,,,
55107,143934,08c4dace-8f76-11e1-848f-cfd5bf3ef515,,85940113.0,,,,4240454.0,Q2672166,1733877.0,,,,"Hecker, Illinois",2419577.0,,1032998.0,,,,
55108,143935,,,85937669.0,,,,5855051.0,Q2138861,1507450.0,,,,"ʻEwa Beach, Hawaii",2400983.0,,160123.0,,,,
55109,143936,08c75736-8f76-11e1-848f-cfd5bf3ef515,,85938731.0,,,,4901137.0,Q2357945,1746695.0,,,,"Maquon, Illinois",2445425.0,,155798.0,,,,
55110,143937,08cd65e0-8f76-11e1-848f-cfd5bf3ef515,,85938911.0,,,,4251593.0,Q577139,1776407.0,,,,"Tuscola, Illinois",2508931.0,,353584.0,,,,
55111,143938,08cafddc-8f76-11e1-848f-cfd5bf3ef515,,85938735.0,,,,4907611.0,Q2672005,1764148.0,,,,"Rio, Illinois",2481576.0,,1036136.0,,,,
55112,143939,08c4e74e-8f76-11e1-848f-cfd5bf3ef515,,85940507.0,,,,4895580.0,Q2188478,1734098.0,,,,"Hennepin, Illinois",2420045.0,,15579.0,,,,
55113,143940,08c7b6cc-8f76-11e1-848f-cfd5bf3ef515,,85938739.0,,,,4828385.0,Q2433297,1748138.0,,,,"Medora, Illinois",2448992.0,,880897.0,,,,
55114,143941,08c43b1e-8f76-11e1-848f-cfd5bf3ef515,,85940509.0,,,,4894410.0,Q2393789,1731017.0,,,,"Granville, Illinois",2413204.0,,240654.0,,,,
