,wk_page_id,wk_name,wiki_id
3,983160,Martano,Q52154
4,983196,Sternatia,Q52201
5,6291733,Bocchigliero,Q53841
6,6291509,Acri,Q53819
7,6275082,Vernole,Q52220
8,6272095,Alessano,Q52110
9,6292750,Longobucco,Q53896
10,6291281,Tricase,Q52214
11,6272150,Caprarica di Lecce,Q52122
12,3939533,Campana,Q230595
13,6272191,Gagliano del Capo,Q52140
14,957855,Rende,Q53946
15,1104395,Anacapri,Q71617
16,6291230,Specchia,Q52198
17,6291643,Amantea,Q53827
18,6275023,Guagnano,Q52146
19,6272392,Cutrofiano,Q52137
20,6279756,Squinzano,Q52200
21,6291743,Bonifati,Q53843
22,6275044,San Donato di Lecce,Q52188
23,3588900,Galatone,Q52142
24,2355437,Rossano,Q53952
25,6293033,Scala Coeli,Q53997
26,6292849,Rota Greca,Q53953
27,6279594,Morciano di Leuca,Q52167
28,6291270,Trepuzzi,Q52213
29,6293121,San Lucido,Q53973
30,6279532,Sogliano Cavour,Q52196
31,6272163,Carpignano Salentino,Q52124
32,6231523,Nardò,Q52169
33,6272142,Campi Salentina,Q52119
34,983176,Zollino,Q52221
35,6291864,Fiumefreddo Bruzio,Q53881
36,2542844,Salice Salentino,Q52184
37,202696,Marina,Q721207
38,6292411,Pietrapaola,Q53936
39,6292699,Montalto Uffugo,Q53917
40,6292795,Falconara Albanese,Q53878
41,6275075,Melendugno,Q52157
42,6272182,Castrignano del Capo,Q52128
43,983191,Soleto,Q52197
44,6292927,Serra d'Aiello,Q54004
45,6293177,Lattarico,Q53893
46,6291776,Mandatoriccio,Q53906
47,605786,Procida,Q72432
48,1507748,Salve,Q4004659
49,6292715,San Vincenzo La Costa,Q53984
0,6126058,Roccagloriosa,Q81446
1,6126063,Rofrano,Q81453
2,6125702,Ascea,Q80580
3,6125729,Buonabitacolo,Q80685
4,6126200,Torchiara,Q81730
5,6275090,Veglie,Q52219
6,2687764,Capena,Q241968
7,35314929,Macchia (Montecorvino Rovella),Q18437469
8,1326707,Laurito,Q49716
9,6125980,Perdifumo,Q81283
10,6125846,Giffoni Sei Casali,Q80957
11,6279621,San Cesario di Lecce,Q52187
12,6125960,Oliveto Citra,Q81160
13,6272366,Copertino,Q52133
14,6125840,Futani,Q80954
15,6125974,Palomonte,Q81267
16,6125941,Montesano sulla Marcellana,Q81085
17,2920299,Eboli,Q80933
18,6126103,San Gregorio Magno,Q81544
19,6126022,Ricigliano,Q81434
20,6126175,Sicignano degli Alburni,Q81705
21,6125771,Caselle in Pittari,Q80770
22,6125766,Casaletto Spartano,Q80757
23,4852206,Monteroni di Lecce,Q52163
24,6125687,Albanella,Q80547
25,6125815,Controne,Q80885
26,6126214,Torre Orsaia,Q81755
27,6125753,Capaccio,Q80746
28,6272124,Arnesano,Q52115
29,6125745,Camerota,Q80721
30,6125997,Polla,Q81333
31,19368662,Quadrivio,Q3183991
